"Batch_No","Product","Site","Manufacture_Date","Release_Date","Operator_ID","Batch_Size_kg","Assay_pct","Dissolution_pct","pH","Moisture_pct","Yield_pct","Assay_Fail","Dissolution_Fail","pH_Fail","Moisture_Fail","Result","Batch_Status","Deviation_Raised","CAPA_Required"
"BN-DUN-202506-0169","Biologics-DS-B","Dunboyne","2025-06-01",2025-06-09,"OP-002",49.3,98.23,90.42,7.39,0.182,86.64,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0037","Biologics-DS-B","Dunboyne","2025-06-02",2025-06-15,"OP-013",100.4,97.94,80.15,7.12,0.143,84.52,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202506-0359","Oncology-BioTx_01","Brinny","2025-06-02",2025-06-09,"OP-018",98.9,99.57,90.96,7.08,0.262,85.82,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202506-0478","HepC-API","Ballydine","2025-06-02",2025-06-07,"OP-006",198.7,99.21,86.69,6.94,0.282,92.38,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202506-0581","Gardasil-Fill","Carlow","2025-06-02",2025-06-17,"OP-013",198.8,95.21,77.66,6.35,0.196,78.41,"Yes","Yes","Yes","No","Fail","Rejected","Yes","Yes"
"BN-BAL-202506-0088","Keytruda-API","Ballydine","2025-06-03",2025-06-09,"OP-013",101.8,99.32,92.03,7.04,0.21,88.83,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0163","Biologics-DS-A","Dunboyne","2025-06-04",2025-06-20,"OP-004",100.4,102.69,72.1,6.5,0.519,75.62,"Yes","Yes","Yes","Yes","Fail","Under Review","Yes","Yes"
"BN-CAR-202506-0254","Gardasil-Fill","Carlow","2025-06-04",2025-06-13,"OP-001",46.8,97.6,82.44,7.15,0.199,91.47,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202506-0550","HepC-API","Ballydine","2025-06-04",2025-06-14,"OP-005",46.4,98.54,92.17,7.01,0.322,92.84,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202506-0080","Gardasil-Fill","Carlow","2025-06-05",2025-06-14,"OP-016",53.2,98.96,90.34,7.06,0.283,91.15,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202506-0390","Gardasil-Fill","Carlow","2025-06-05",2025-06-17,"OP-017",245.8,98.48,86.76,7.05,0.311,88.7,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0473","Biologics-DS-B","Dunboyne","2025-06-08",2025-06-25,"OP-010",99.4,102.26,71.24,7.04,0.604,74.2,"Yes","Yes","No","Yes","Fail","Rejected","Yes","Yes"
"BN-BAL-202506-0021","HepC-API","Ballydine","2025-06-10",2025-06-20,"OP-014",248.4,99.52,83.93,7.14,0.31,92.07,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0490","Biologics-DS-A","Dunboyne","2025-06-10",2025-06-17,"OP-001",97.3,97.47,92.53,7.1,0.278,87.6,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202506-0544","Keytruda-API","Ballydine","2025-06-11",2025-06-25,"OP-005",101.3,97.78,90.36,7.22,0.318,82.52,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202506-0054","Oncology-BioTx_01","Brinny","2025-06-12",2025-06-29,"OP-009",197.2,98.25,94.08,7.13,0.245,90.39,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202506-0210","HepC-API","Ballydine","2025-06-12",2025-06-29,"OP-012",100.5,99.37,91.34,7.18,0.271,94.31,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202506-0141","HepC-API","Ballydine","2025-06-13",2025-06-20,"OP-009",101.3,99.44,86.69,7.13,0.305,90.51,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202506-0578","Keytruda-API","Ballydine","2025-06-13",2025-06-19,"OP-013",253.8,98.24,85.9,7.03,0.264,84.85,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0004","Biologics-DS-B","Dunboyne","2025-06-14",2025-06-24,"OP-014",200.7,97.71,94.49,7.1,0.221,92.13,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202506-0357","Gardasil-Fill","Carlow","2025-06-19",2025-06-24,"OP-005",253.3,99.26,88.8,7.1,0.283,89.37,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0412","Biologics-DS-B","Dunboyne","2025-06-19",2025-06-26,"OP-018",96.3,97.28,89.41,7.17,0.256,86.44,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202506-0441","Keytruda-API","Ballydine","2025-06-20",2025-07-08,"OP-014",200,99.93,91.02,7.27,0.263,87.94,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202506-0502","Keytruda-API","Ballydine","2025-06-20",2025-07-03,"OP-012",54.1,98.59,89.15,7.28,0.265,84.51,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202506-0573","Keytruda-API","Ballydine","2025-06-21",2025-06-26,"OP-009",251,99.35,90.99,7.04,0.196,87.68,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202506-0059","Gardasil-Fill","Carlow","2025-06-22",2025-07-04,"OP-004",50.7,97.96,82.94,7.08,0.298,88.45,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0354","Biologics-DS-A","Dunboyne","2025-06-22",2025-07-01,"OP-018",248.6,97,87.52,7.13,0.215,91.05,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0218","Biologics-DS-B","Dunboyne","2025-06-23",2025-07-01,"OP-001",200.2,98.21,95.31,7.07,0.279,89.9,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202506-0137","Oncology-BioTx_01","Brinny","2025-06-24",2025-07-07,"OP-013",101.2,99.1,83,7.08,0.112,89.67,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202506-0140","Oncology-BioTx_01","Brinny","2025-06-25",2025-07-01,"OP-016",48.8,98.8,96.46,7.21,0.363,89.19,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0523","Biologics-DS-A","Dunboyne","2025-06-25",2025-07-07,"OP-002",96,97.17,93.12,7.3,0.188,84.58,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202506-0034","Keytruda-API","Ballydine","2025-06-26",2025-07-12,"OP-017",102.3,98.16,89.48,7.06,0.138,88.04,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0256","Biologics-DS-B","Dunboyne","2025-06-26",2025-07-06,"OP-008",47.9,99.13,90.2,6.92,0.182,85.41,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202506-0559","Oncology-BioTx_01","Brinny","2025-06-26",2025-07-04,"OP-004",45.6,98.71,89.28,7.13,0.319,87.13,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202506-0417","Biologics-DS-B","Dunboyne","2025-06-28",2025-07-06,"OP-005",103.1,97.17,89.48,7.13,0.239,83.68,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202506-0371","Oncology-BioTx_01","Brinny","2025-06-29",2025-07-12,"OP-003",95.7,99.61,93.49,7.07,0.353,83.75,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202507-0062","Biologics-DS-A","Dunboyne","2025-07-01",2025-07-13,"OP-020",102.2,97.51,88.05,7.2,0.165,86.9,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202507-0245","Keytruda-API","Ballydine","2025-07-02",2025-07-08,"OP-007",95.2,98.66,92.84,7.2,0.199,87.99,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202507-0403","Oncology-BioTx_01","Brinny","2025-07-02",2025-07-07,"OP-015",102,98.3,91.2,7.26,0.213,87.44,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202507-0579","HepC-API","Ballydine","2025-07-02",2025-07-14,"OP-011",99.6,98.54,95.03,7.07,0.318,90.01,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202507-0428","Keytruda-API","Ballydine","2025-07-04",2025-07-22,"OP-011",197.6,99.08,88.43,7.08,0.236,88.18,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202507-0099","Keytruda-API","Ballydine","2025-07-05",2025-07-12,"OP-014",51.2,98.86,90.78,7.1,0.338,82.41,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202507-0201","Gardasil-Fill","Carlow","2025-07-05",2025-07-21,"OP-017",248.3,99.49,91.06,7.07,0.106,86.5,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202507-0106","Keytruda-API","Ballydine","2025-07-08",2025-07-14,"OP-010",100.7,99.85,83.22,7.22,0.4,91.61,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202507-0124","HepC-API","Ballydine","2025-07-08",2025-07-20,"OP-003",197.5,98.95,90.38,7.02,0.209,90.68,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202507-0301","Gardasil-Fill","Carlow","2025-07-09",2025-07-22,"OP-015",250.2,97.93,89.44,7.25,0.273,92.56,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202507-0265","Biologics-DS-B","Dunboyne","2025-07-10",2025-07-24,"OP-007",204.8,98.28,81.89,7.16,0.219,89.55,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202507-0039","Keytruda-API","Ballydine","2025-07-11",2025-07-24,"OP-018",54.1,98.88,86.29,7.32,0.279,86.23,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202507-0103","Gardasil-Fill","Carlow","2025-07-11",2025-07-23,"OP-006",53.9,98.51,84.42,7.33,0.271,90.97,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202507-0225","Oncology-BioTx_01","Brinny","2025-07-13",2025-07-30,"OP-008",251.6,99.07,89.81,7.03,0.363,88.25,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202507-0455","Biologics-DS-A","Dunboyne","2025-07-17",2025-07-29,"OP-017",47.2,98.51,87.15,7.32,0.375,89.1,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202507-0430","Oncology-BioTx_01","Brinny","2025-07-18",2025-07-30,"OP-001",196.5,99.28,89.79,6.88,0.331,88.36,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202507-0571","Biologics-DS-A","Dunboyne","2025-07-19",2025-07-27,"OP-020",245.4,98.46,91.35,6.95,0.354,85.09,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202507-0150","HepC-API","Ballydine","2025-07-22",2025-08-04,"OP-008",199.8,98.89,88.03,7.11,0.252,85.58,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-DUN-202507-0495","Biologics-DS-A","Dunboyne","2025-07-23",2025-08-05,"OP-009",250,97.59,95.58,7.08,0.305,86.03,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202507-0262","Biologics-DS-B","Dunboyne","2025-07-25",2025-08-12,"OP-010",201.2,98.04,85.72,7.16,0.279,83.27,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202507-0468","Oncology-BioTx_01","Brinny","2025-07-25",2025-08-08,"OP-011",53.7,99.02,86.61,7.04,0.25,92.45,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202507-0128","Oncology-BioTx_01","Brinny","2025-07-26",2025-08-10,"OP-010",103.9,98.94,84.99,7.14,0.323,87.58,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202507-0133","Oncology-BioTx_01","Brinny","2025-07-30",2025-08-17,"OP-009",99.2,99.23,89.82,7.09,0.272,87.13,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202507-0273","Oncology-BioTx_01","Brinny","2025-07-31",2025-08-14,"OP-012",247.9,99.16,92.75,7.11,0.245,87.85,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202508-0425","Gardasil-Fill","Carlow","2025-08-03",2025-08-12,"OP-014",100.2,98.78,88.14,7.07,0.402,89.49,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BRI-202508-0043","Oncology-BioTx_01","Brinny","2025-08-04",2025-08-20,"OP-018",205,99.15,87.4,7.08,0.289,84.23,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202508-0187","Keytruda-API","Ballydine","2025-08-05",2025-08-15,"OP-020",97.6,99.73,88.38,6.96,0.266,88.61,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202508-0010","Keytruda-API","Ballydine","2025-08-06",2025-08-18,"OP-020",253.5,98.57,91.46,7.17,0.261,92.02,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202508-0041","Gardasil-Fill","Carlow","2025-08-07",2025-08-20,"OP-020",245.6,98.16,85.35,7.18,0.277,89.94,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202508-0235","HepC-API","Ballydine","2025-08-07",2025-08-13,"OP-003",246.3,99.68,85.88,7.2,0.266,84.56,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202508-0395","Oncology-BioTx_01","Brinny","2025-08-07",2025-08-12,"OP-007",197.3,99.87,93.92,7.03,0.193,88.57,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-DUN-202508-0555","Biologics-DS-B","Dunboyne","2025-08-08",2025-08-23,"OP-017",200.9,97.91,92.45,7.12,0.18,86.1,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202508-0171","Oncology-BioTx_01","Brinny","2025-08-09",2025-08-26,"OP-011",247.2,99.79,90.8,7.1,0.251,81.03,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202508-0164","Oncology-BioTx_01","Brinny","2025-08-11",2025-08-22,"OP-003",53.8,99.49,77.88,7.08,0.28,87.87,"No","Yes","No","No","Fail","Rejected","Yes","Yes"
"BN-CAR-202508-0373","Gardasil-Fill","Carlow","2025-08-12",2025-08-25,"OP-020",97.8,99.23,91.61,7.16,0.287,94.53,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202508-0191","Gardasil-Fill","Carlow","2025-08-14",2025-08-30,"OP-014",199.7,98.34,84.99,7.28,0.199,88.8,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202508-0577","Oncology-BioTx_01","Brinny","2025-08-14",2025-08-27,"OP-008",48.2,98.44,89.6,7.1,0.229,86.85,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202508-0409","Biologics-DS-A","Dunboyne","2025-08-15",2025-08-29,"OP-011",195.4,97.56,91.07,7.21,0.234,83.9,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202508-0293","Biologics-DS-B","Dunboyne","2025-08-16",2025-08-22,"OP-018",54.3,97.8,87.08,7.01,0.213,83.57,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202508-0500","Keytruda-API","Ballydine","2025-08-17",2025-08-22,"OP-020",201.2,99.38,94.68,7.06,0.325,87.17,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202508-0019","Oncology-BioTx_01","Brinny","2025-08-18",2025-09-02,"OP-010",201.3,99.79,82.73,6.88,0.182,88.16,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202508-0060","Gardasil-Fill","Carlow","2025-08-21",2025-09-04,"OP-002",198.4,100.15,90.56,7.1,0.324,93.23,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202508-0064","Oncology-BioTx_01","Brinny","2025-08-23",2025-08-29,"OP-002",50.7,98.11,93.89,6.9,0.238,85.71,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202508-0091","HepC-API","Ballydine","2025-08-24",2025-09-02,"OP-008",54.7,98.59,95.88,7.16,0.179,84.68,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202508-0325","Oncology-BioTx_01","Brinny","2025-08-25",2025-09-05,"OP-018",195.1,99.9,88.79,7.08,0.211,86.17,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202508-0483","HepC-API","Ballydine","2025-08-25",2025-09-06,"OP-007",249.3,98.87,84.75,6.96,0.295,89.36,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202508-0296","HepC-API","Ballydine","2025-08-26",2025-09-08,"OP-014",205,99.2,90.88,6.76,0.283,89.19,"No","No","Yes","No","Fail","Under Review","Yes","Yes"
"BN-BRI-202508-0183","Oncology-BioTx_01","Brinny","2025-08-27",2025-09-10,"OP-018",204.9,98.58,92.67,7.06,0.344,82.84,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202508-0003","Biologics-DS-A","Dunboyne","2025-08-28",2025-09-07,"OP-014",197.9,97.34,85.73,7.09,0.274,85.3,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0014","Biologics-DS-A","Dunboyne","2025-09-02",2025-09-19,"OP-010",47.2,97.34,90,7.36,0.255,86.18,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202509-0077","HepC-API","Ballydine","2025-09-02",2025-09-20,"OP-002",48,99.3,87.27,7.06,0.254,93.19,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0525","Biologics-DS-B","Dunboyne","2025-09-02",2025-09-16,"OP-014",54.3,98.04,87.58,7.03,0.271,87.19,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0153","Biologics-DS-A","Dunboyne","2025-09-03",2025-09-09,"OP-003",101,97.43,88.19,7.1,0.162,81.51,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202509-0208","Oncology-BioTx_01","Brinny","2025-09-06",2025-09-18,"OP-003",51.3,98.01,82.2,7.25,0.372,86.96,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202509-0061","HepC-API","Ballydine","2025-09-07",2025-09-23,"OP-006",50.5,99.52,94.44,7.14,0.242,88.99,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202509-0335","Oncology-BioTx_01","Brinny","2025-09-10",2025-09-25,"OP-019",45.4,99.76,87.65,7.22,0.338,88.45,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0466","Biologics-DS-A","Dunboyne","2025-09-12",2025-09-25,"OP-010",48.2,97.24,92.05,7.19,0.206,84,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0110","Biologics-DS-B","Dunboyne","2025-09-13",2025-09-25,"OP-007",201,97.78,83.45,7.22,0.234,87.07,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202509-0426","Gardasil-Fill","Carlow","2025-09-13",2025-10-01,"OP-003",204,98.76,87.66,7.23,0.331,94.82,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0432","Biologics-DS-B","Dunboyne","2025-09-13",2025-09-30,"OP-004",51.8,97.42,90.34,7.16,0.309,82.91,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0530","Biologics-DS-A","Dunboyne","2025-09-15",2025-09-21,"OP-007",101.6,98.29,85.55,7.1,0.201,81.08,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202509-0017","HepC-API","Ballydine","2025-09-16",2025-09-25,"OP-012",48.9,98.87,88.22,6.96,0.184,89.83,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202509-0318","Keytruda-API","Ballydine","2025-09-17",2025-09-27,"OP-019",201.8,99.94,88.37,7.06,0.385,86.66,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202509-0324","HepC-API","Ballydine","2025-09-17",2025-10-01,"OP-004",248.3,99.52,88.58,7.13,0.24,88.31,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202509-0016","HepC-API","Ballydine","2025-09-18",2025-10-05,"OP-020",97.6,100.19,84.28,7.21,0.369,87.83,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-DUN-202509-0292","Biologics-DS-B","Dunboyne","2025-09-19",2025-09-30,"OP-010",204,97.51,88.37,7.05,0.328,83.8,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202509-0467","Keytruda-API","Ballydine","2025-09-20",2025-09-25,"OP-005",251.3,99.7,91.52,7.02,0.353,83.12,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202509-0197","Gardasil-Fill","Carlow","2025-09-22",2025-10-06,"OP-015",104.4,98.32,88.7,7.14,0.212,92.63,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202509-0565","Keytruda-API","Ballydine","2025-09-22",2025-10-03,"OP-002",195.6,100.02,88.09,7.23,0.257,90.82,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0223","Biologics-DS-A","Dunboyne","2025-09-25",2025-09-30,"OP-004",54.2,97.25,85.07,7.06,0.286,86.71,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202509-0240","Oncology-BioTx_01","Brinny","2025-09-25",2025-10-06,"OP-001",195.7,98.35,83.17,7.04,0.277,86.7,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-CAR-202509-0052","Gardasil-Fill","Carlow","2025-09-26",2025-10-08,"OP-004",48.2,98.87,85.09,7.02,0.324,90.65,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0068","Biologics-DS-A","Dunboyne","2025-09-26",2025-10-12,"OP-019",96.5,97,83.86,7.2,0.172,88.56,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202509-0568","Gardasil-Fill","Carlow","2025-09-26",2025-10-10,"OP-003",247.7,97.55,85.21,6.97,0.366,89.37,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0422","Biologics-DS-B","Dunboyne","2025-09-28",2025-10-15,"OP-015",95.2,98.61,88.59,7.25,0.387,84.15,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202509-0239","Oncology-BioTx_01","Brinny","2025-09-29",2025-10-09,"OP-014",254.9,98.53,84.97,7.01,0.302,91.47,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202509-0112","Biologics-DS-A","Dunboyne","2025-09-30",2025-10-15,"OP-020",250.6,97,94.07,7.17,0.418,83.75,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0398","Biologics-DS-B","Dunboyne","2025-10-01",2025-10-17,"OP-008",204.8,98.06,89.47,6.98,0.269,84.2,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0489","Biologics-DS-B","Dunboyne","2025-10-01",2025-10-10,"OP-016",248.7,98.19,88.04,7.25,0.237,86.16,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0447","Biologics-DS-A","Dunboyne","2025-10-03",2025-10-18,"OP-003",103.6,98.18,86.83,7.14,0.268,82.15,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202510-0504","Gardasil-Fill","Carlow","2025-10-03",2025-10-18,"OP-017",102.5,98.81,88.68,7.12,0.246,86.84,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0232","Biologics-DS-B","Dunboyne","2025-10-04",2025-10-13,"OP-004",50.6,97.93,91.01,7.23,0.193,83.66,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202510-0305","Keytruda-API","Ballydine","2025-10-04",2025-10-13,"OP-005",203.4,99.22,89,7.11,0.223,85.52,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202510-0524","Keytruda-API","Ballydine","2025-10-04",2025-10-11,"OP-017",202.9,99.74,83.02,7.13,0.216,89.43,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202510-0159","Gardasil-Fill","Carlow","2025-10-05",2025-10-23,"OP-019",204.1,98.83,83.28,7.27,0.237,92.64,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202510-0162","HepC-API","Ballydine","2025-10-05",2025-10-20,"OP-017",101.4,99.94,83.52,7.27,0.303,90.96,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202510-0313","HepC-API","Ballydine","2025-10-05",2025-10-23,"OP-020",197.4,99.41,90.13,7.09,0.296,92.09,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202510-0452","Keytruda-API","Ballydine","2025-10-05",2025-10-13,"OP-015",248.4,98.55,86.98,7.08,0.247,90.71,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202510-0410","Keytruda-API","Ballydine","2025-10-06",2025-10-20,"OP-016",202.1,98.39,81.67,6.83,0.328,89.4,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202510-0549","Oncology-BioTx_01","Brinny","2025-10-07",2025-10-17,"OP-007",98.7,99.36,89.52,7.05,0.251,86.56,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0402","Biologics-DS-B","Dunboyne","2025-10-08",2025-10-21,"OP-013",199.2,98.2,87.91,7.19,0.377,86.36,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0545","Biologics-DS-B","Dunboyne","2025-10-08",2025-10-18,"OP-016",202.4,97.56,90.48,6.91,0.18,84.65,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202510-0397","Gardasil-Fill","Carlow","2025-10-11",2025-10-29,"OP-006",98.6,98.75,85.95,7.1,0.257,90.85,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0190","Biologics-DS-A","Dunboyne","2025-10-12",2025-10-21,"OP-004",52.2,97,89.91,7.07,0.227,88.51,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0026","Biologics-DS-B","Dunboyne","2025-10-14",2025-10-25,"OP-012",200.2,97.99,94.03,7.21,0.261,88.86,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202510-0030","Keytruda-API","Ballydine","2025-10-17",2025-11-01,"OP-005",198,99.36,84.74,7,0.32,85.94,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0249","Biologics-DS-A","Dunboyne","2025-10-18",2025-10-25,"OP-002",51.5,97,89.01,6.96,0.281,88.03,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0368","Biologics-DS-A","Dunboyne","2025-10-19",2025-11-05,"OP-014",52.9,98.48,88.49,6.92,0.312,81.33,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202510-0177","Gardasil-Fill","Carlow","2025-10-21",2025-10-28,"OP-007",54.1,98.74,83.71,7.29,0.354,88.71,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202510-0469","HepC-API","Ballydine","2025-10-24",2025-11-06,"OP-002",200.9,94.3,76.62,7.71,0.255,76.92,"Yes","Yes","Yes","No","Fail","Rejected","Yes","Yes"
"BN-BRI-202510-0338","Oncology-BioTx_01","Brinny","2025-10-25",2025-11-07,"OP-005",102.9,99.65,85.82,7.01,0.227,87.07,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202510-0515","Gardasil-Fill","Carlow","2025-10-25",2025-11-07,"OP-006",54.4,98,92.36,7.15,0.166,92.5,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202510-0070","Gardasil-Fill","Carlow","2025-10-26",2025-11-03,"OP-017",196.9,99.01,86.86,6.9,0.227,90.64,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202510-0203","Biologics-DS-B","Dunboyne","2025-10-27",2025-11-14,"OP-012",200.5,97,85.08,6.94,0.352,83.03,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202510-0012","HepC-API","Ballydine","2025-10-30",2025-11-13,"OP-011",97.9,99.38,86.2,6.95,0.105,85.51,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202511-0567","HepC-API","Ballydine","2025-11-01",2025-11-14,"OP-010",101.4,100.2,87.22,6.82,0.364,88.91,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202511-0513","Biologics-DS-B","Dunboyne","2025-11-05",2025-11-15,"OP-007",195.9,98.87,87.96,7.08,0.211,92.15,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202511-0367","HepC-API","Ballydine","2025-11-06",2025-11-24,"OP-019",98.4,100.43,86.39,6.95,0.382,89.38,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202511-0470","Oncology-BioTx_01","Brinny","2025-11-06",2025-11-13,"OP-010",99.1,99.22,89.06,7.02,0.357,90.23,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202511-0527","Keytruda-API","Ballydine","2025-11-06",2025-11-14,"OP-018",197.1,98.53,89.88,7.21,0.217,92.3,"No","No","No","No","Pass","Released","No","No"
